dataset,attack,agg,mal_frac,n_mal,threshold,threshold_frac,final_acc
mnist,signflip,sss,0.0,0,5,0.25,0.749549
mnist,signflip,sss_robust,0.0,0,5,0.25,0.749549
mnist,signflip,fedavg,0.0,0,5,0.25,0.749549
mnist,signflip,krum,0.0,0,5,0.25,0.761452
mnist,signflip,multi_krum,0.0,0,5,0.25,0.750934
mnist,signflip,trimmed_mean,0.0,0,5,0.25,0.752856
mnist,signflip,sss,0.05,1,5,0.25,0.749549
mnist,signflip,sss_robust,0.05,1,5,0.25,0.749549
mnist,signflip,fedavg,0.05,1,5,0.25,0.759848
mnist,signflip,krum,0.05,1,5,0.25,0.761452
mnist,signflip,multi_krum,0.05,1,5,0.25,0.751745
mnist,signflip,trimmed_mean,0.05,1,5,0.25,0.753219
mnist,signflip,sss,0.1,2,5,0.25,0.749549
mnist,signflip,sss_robust,0.1,2,5,0.25,0.749549
mnist,signflip,fedavg,0.1,2,5,0.25,0.694872
mnist,signflip,krum,0.1,2,5,0.25,0.759234
mnist,signflip,multi_krum,0.1,2,5,0.25,0.749549
mnist,signflip,trimmed_mean,0.1,2,5,0.25,0.741305
mnist,signflip,sss,0.15,3,5,0.25,0.749549
mnist,signflip,sss_robust,0.15,3,5,0.25,0.749549
mnist,signflip,fedavg,0.15,3,5,0.25,0.003758
mnist,signflip,krum,0.15,3,5,0.25,0.759517
mnist,signflip,multi_krum,0.15,3,5,0.25,0.749060
mnist,signflip,trimmed_mean,0.15,3,5,0.25,0.716152
mnist,signflip,sss,0.2,4,5,0.25,0.749549
mnist,signflip,sss_robust,0.2,4,5,0.25,0.749549
mnist,signflip,fedavg,0.2,4,5,0.25,0.000980
mnist,signflip,krum,0.2,4,5,0.25,0.760488
mnist,signflip,multi_krum,0.2,4,5,0.25,0.748408
mnist,signflip,trimmed_mean,0.2,4,5,0.25,0.058105
mnist,signflip,sss,0.25,5,5,0.25,0.749549
mnist,signflip,sss_robust,0.25,5,5,0.25,0.749549
mnist,signflip,fedavg,0.25,5,5,0.25,0.000187
mnist,signflip,krum,0.25,5,5,0.25,0.760705
mnist,signflip,multi_krum,0.25,5,5,0.25,0.745680
mnist,signflip,trimmed_mean,0.25,5,5,0.25,0.001877
mnist,signflip,sss,0.3,6,5,0.25,0.749549
mnist,signflip,sss_robust,0.3,6,5,0.25,0.749549
mnist,signflip,fedavg,0.3,6,5,0.25,0.000091
mnist,signflip,krum,0.3,6,5,0.25,0.760407
mnist,signflip,multi_krum,0.3,6,5,0.25,0.748662
mnist,signflip,trimmed_mean,0.3,6,5,0.25,0.001381
mnist,signflip,sss,0.35,7,5,0.25,0.749549
mnist,signflip,sss_robust,0.35,7,5,0.25,0.749549
mnist,signflip,fedavg,0.35,7,5,0.25,0.000906
mnist,signflip,krum,0.35,7,5,0.25,0.760877
mnist,signflip,multi_krum,0.35,7,5,0.25,0.744921
mnist,signflip,trimmed_mean,0.35,7,5,0.25,0.000490
mnist,signflip,sss,0.4,8,5,0.25,0.749549
mnist,signflip,sss_robust,0.4,8,5,0.25,0.749549
mnist,signflip,fedavg,0.4,8,5,0.25,0.002306
mnist,signflip,krum,0.4,8,5,0.25,0.756061
mnist,signflip,multi_krum,0.4,8,5,0.25,0.752963
mnist,signflip,trimmed_mean,0.4,8,5,0.25,0.000591
mnist,signflip,sss,0.45,9,5,0.25,0.749549
mnist,signflip,sss_robust,0.45,9,5,0.25,0.749549
mnist,signflip,fedavg,0.45,9,5,0.25,0.004243
mnist,signflip,krum,0.45,9,5,0.25,0.756921
mnist,signflip,multi_krum,0.45,9,5,0.25,0.742991
mnist,signflip,trimmed_mean,0.45,9,5,0.25,0.002607
mnist,signflip,sss,0.5,10,5,0.25,0.749549
mnist,signflip,sss_robust,0.5,10,5,0.25,0.749549
mnist,signflip,fedavg,0.5,10,5,0.25,0.008669
mnist,signflip,krum,0.5,10,5,0.25,0.758580
mnist,signflip,multi_krum,0.5,10,5,0.25,0.746013
mnist,signflip,trimmed_mean,0.5,10,5,0.25,0.008357
mnist,signflip,sss,0.55,11,5,0.25,0.749549
mnist,signflip,sss_robust,0.55,11,5,0.25,0.749549
mnist,signflip,fedavg,0.55,11,5,0.25,0.016565
mnist,signflip,krum,0.55,11,5,0.25,0.760196
mnist,signflip,multi_krum,0.55,11,5,0.25,0.755936
mnist,signflip,trimmed_mean,0.55,11,5,0.25,0.021470
mnist,signflip,sss,0.6,12,5,0.25,0.749549
mnist,signflip,sss_robust,0.6,12,5,0.25,0.749549
mnist,signflip,fedavg,0.6,12,5,0.25,0.021873
mnist,signflip,krum,0.6,12,5,0.25,0.755495
mnist,signflip,multi_krum,0.6,12,5,0.25,0.762290
mnist,signflip,trimmed_mean,0.6,12,5,0.25,0.030433
