dataset,attack,agg,mal_frac,n_mal,threshold,threshold_frac,final_acc
synthetic_clustered,signflip,sss,0.0,0,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.0,0,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.0,0,5,0.25,0.564286
synthetic_clustered,signflip,krum,0.0,0,5,0.25,0.554286
synthetic_clustered,signflip,multi_krum,0.0,0,5,0.25,0.564286
synthetic_clustered,signflip,trimmed_mean,0.0,0,5,0.25,0.560000
synthetic_clustered,signflip,sss,0.05,1,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.05,1,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.05,1,5,0.25,0.564286
synthetic_clustered,signflip,krum,0.05,1,5,0.25,0.554286
synthetic_clustered,signflip,multi_krum,0.05,1,5,0.25,0.564286
synthetic_clustered,signflip,trimmed_mean,0.05,1,5,0.25,0.560000
synthetic_clustered,signflip,sss,0.1,2,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.1,2,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.1,2,5,0.25,0.552857
synthetic_clustered,signflip,krum,0.1,2,5,0.25,0.554286
synthetic_clustered,signflip,multi_krum,0.1,2,5,0.25,0.561429
synthetic_clustered,signflip,trimmed_mean,0.1,2,5,0.25,0.554286
synthetic_clustered,signflip,sss,0.15,3,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.15,3,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.15,3,5,0.25,0.552857
synthetic_clustered,signflip,krum,0.15,3,5,0.25,0.555714
synthetic_clustered,signflip,multi_krum,0.15,3,5,0.25,0.561429
synthetic_clustered,signflip,trimmed_mean,0.15,3,5,0.25,0.554286
synthetic_clustered,signflip,sss,0.2,4,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.2,4,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.2,4,5,0.25,0.542857
synthetic_clustered,signflip,krum,0.2,4,5,0.25,0.552857
synthetic_clustered,signflip,multi_krum,0.2,4,5,0.25,0.560000
synthetic_clustered,signflip,trimmed_mean,0.2,4,5,0.25,0.545714
synthetic_clustered,signflip,sss,0.25,5,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.25,5,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.25,5,5,0.25,0.547143
synthetic_clustered,signflip,krum,0.25,5,5,0.25,0.558571
synthetic_clustered,signflip,multi_krum,0.25,5,5,0.25,0.561429
synthetic_clustered,signflip,trimmed_mean,0.25,5,5,0.25,0.540000
synthetic_clustered,signflip,sss,0.3,6,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.3,6,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.3,6,5,0.25,0.537143
synthetic_clustered,signflip,krum,0.3,6,5,0.25,0.562857
synthetic_clustered,signflip,multi_krum,0.3,6,5,0.25,0.561429
synthetic_clustered,signflip,trimmed_mean,0.3,6,5,0.25,0.537143
synthetic_clustered,signflip,sss,0.35,7,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.35,7,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.35,7,5,0.25,0.537143
synthetic_clustered,signflip,krum,0.35,7,5,0.25,0.564286
synthetic_clustered,signflip,multi_krum,0.35,7,5,0.25,0.562857
synthetic_clustered,signflip,trimmed_mean,0.35,7,5,0.25,0.537143
synthetic_clustered,signflip,sss,0.4,8,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.4,8,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.4,8,5,0.25,0.537143
synthetic_clustered,signflip,krum,0.4,8,5,0.25,0.555714
synthetic_clustered,signflip,multi_krum,0.4,8,5,0.25,0.554286
synthetic_clustered,signflip,trimmed_mean,0.4,8,5,0.25,0.527143
synthetic_clustered,signflip,sss,0.45,9,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.45,9,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.45,9,5,0.25,0.535714
synthetic_clustered,signflip,krum,0.45,9,5,0.25,0.557143
synthetic_clustered,signflip,multi_krum,0.45,9,5,0.25,0.554286
synthetic_clustered,signflip,trimmed_mean,0.45,9,5,0.25,0.517143
synthetic_clustered,signflip,sss,0.5,10,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.5,10,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.5,10,5,0.25,0.535714
synthetic_clustered,signflip,krum,0.5,10,5,0.25,0.557143
synthetic_clustered,signflip,multi_krum,0.5,10,5,0.25,0.557143
synthetic_clustered,signflip,trimmed_mean,0.5,10,5,0.25,0.517143
synthetic_clustered,signflip,sss,0.55,11,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.55,11,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.55,11,5,0.25,0.535714
synthetic_clustered,signflip,krum,0.55,11,5,0.25,0.557143
synthetic_clustered,signflip,multi_krum,0.55,11,5,0.25,0.557143
synthetic_clustered,signflip,trimmed_mean,0.55,11,5,0.25,0.517143
synthetic_clustered,signflip,sss,0.6,12,5,0.25,0.564286
synthetic_clustered,signflip,sss_robust,0.6,12,5,0.25,0.564286
synthetic_clustered,signflip,fedavg,0.6,12,5,0.25,0.477143
synthetic_clustered,signflip,krum,0.6,12,5,0.25,0.557143
synthetic_clustered,signflip,multi_krum,0.6,12,5,0.25,0.557143
synthetic_clustered,signflip,trimmed_mean,0.6,12,5,0.25,0.511429
